,,,,,,,,,,,,,,,,,,,,Change,,,,Growth
ENDEAVOUR HILLS,,345000,405500,396000,457000,620000,,497500,,,594000,610000,615000,637500,,605000,,640000,,-5,,75,,5.8
EPPING,,315000,344000,349000,375000,370000,,400000,,,410000,458500,486000,480000,,500000,,415000,,4,,59,,4.7
EPSOM,,275000 ^,260000,^   272500  ^,275000,291000,,305000,,,326500,379500,400000,441500,,450000,,501000,,2,,64,,5.0
ESSENDON,,470000,511000,530000,535000,505000,,570000,,,615000,620000,599500,535000,,542500,,571000,,1,,15,,1.4
ESSENDON NORTH,,485000,435000,480000,470000,400000,,425000,,,461500,489000,439000,400000,,385000,,380000,,-4,,-21,,-2.3
EUMEMMERRING,,295500,325000,341000,492500,414000,,430000,,,426500,520000,555000,517000,,595000,,510000,,15,,102,,7.3
FAIRFIELD,,488500,464000,600000,621500,509500,,505000,,,613500,605000,580000,565000,,635000,,540000,,12,,30,,2.7
FAWKNER,,345000,370000,400000,470500,506000,,475000,,,512000,570000,572500,592500,,550000,,600000,,-7,,59,,4.8
FERNTREE GULLY,,405000,430000,510000,550000,597000,,540000,,,590000,640000,660500,680000,,675000,,622500,,-1,,67,,5.2
FISHERMANS BEND,,880000,921000,895000,962500,988000,,876500,,,937000,990000,910000,937000,,863000,,800000,,-8,,-2,,-0.2
FITZROY,,600000,685000,680000,701000,720000,,750000,,,770000,874000,801000,825000,,767500,,1120000,,-7,,28,,2.5
FITZROY NORTH,,550000,608500,625500,581500,640000,,640000,,,602500,745000,719000,680000,,698000,,578000,,3,,27,,2.4
FLEMINGTON,,436500,437500,415000,436000,440500,,405500,,,436500,509500,450000,385000,,389000,,400500,,1,,-11,,-1.1
FLORA HILL,,260000,225000,240000,250000,,245000,,244500,,325000,360000,430000,425000,,430000,,452500,,1,,65,,5.2
FOOTSCRAY,,410000,460000,440000,485000,,510000,,464500,,515500,510000,490000,529000,,520000,,410000,,-2,,27,,2.4
FOREST HILL,,592500,465000,637500,707500,,700500,,735000,,747000,815000,800000,830000,,806500,,808000,,-3,,36,,3.1
FOSTER,,275500,248000,260000  ^,200000,^,200000,,175000,,280000,320000,339000,395000,,310500,,310000,,-21,,13,,1.2
FRANKSTON,,300000,320000,333000,395000,,440000,,413500,,440000,535000,550000,505000,,522500,,550000,,3,,74,,5.7
FRANKSTON NORTH,,252500 ^,316000,307500,380000,^,414000,,397500   ^,,406500,516000,490000,521500,,602500,,638000,,15,,139,,9.1
FRANKSTON SOUTH,,425000,430000,466000,547500,,665000,,612500,,685000,765000,750000,746500,,735000,,705500,,-2,,73,,5.6
GARDENVALE,,491000,315000,345000,560000,,307500,,640000,,610000,341000,500000,431000,,581000,,1355000,,35,,18,,1.7
GARFIELD,,280500,284000,290000,335000,,390000,^,375000   ^,,420000,457500,527500,545000,,510000,,NA,,-6,,82,,6.2
GEELONG,,497500,470000,470000,550000,,550000,,516500,,611500,642500,700000,741000,,617500,,630000,,-17,,24,,2.2
GEELONG WEST,,339000,338500,381500,380000,,396500,,434000,,431500,629000,484000,573000,,490000,,330000,,-14,,45,,3.8
GISBORNE,,375000,435000,447500,450000,,503500,,510000,,555000,630000,660000,555000,,562000,,537500,,1,,50,,4.1
GLEN HUNTLY,,410500,545000,572500,560000,,610000,,531500,,592500,605000,560000,608500,,620000,,592500,,2,,51,,4.2
GLEN IRIS,,560000,590000,645000,782500,,733500,,715000,,722000,739000,740000,790000,,747500,,630000,,-5,,33,,2.9
GLEN WAVERLEY,,640000,651000,700000,845000,,866000,,834000,,780000,855000,806000,800000,,880000,,731000,,10,,38,,3.2
GLENROY,,400000,415000,446000,500500,,520000,,530000,,575000,610000,590000,578000,,585000,,569000,,1,,46,,3.9
GOLDEN POINT (BALLARAT),,256000,250000,232000,315000,,310000,,329000,,327500,392500,407500,352000,,360000,,360000,,2,,41,,3.5
GOLDEN SQUARE,,270000,245000,250000,272000,,252500,,271000,,280000,359000,430500,400000,,435000,,482000,,9,,61,,4.9
GOWANBRAE,,-,482500,^   590000  ^,632500,^,650000,^,634000,^,600000,700000,721000,725000,,728000,,810000,,0,,0,,NA
GREENSBOROUGH,,448000,490500,520000,622500,,626000,,638000,,644500,729500,712500,730000,,715000,,654500,,-2,,60,,4.8
GREENVALE,,399000,385000,395000,427500,,485000,^,561500   ^,,530000,610000,465000,592500,,600000,,525000,,1,,50,,4.2
GROVEDALE,,231000,275000,302500,330000,,359000,,399000,,447500,510000,524500,496500,,497500,,488500,,0,,115,,8.0
HADFIELD,,350000,383000,432000,535000,,575500,,495000,,580000,600000,598000,615000,,611500,,455000,,-1,,75,,5.7
HALLAM,,306500,350000,362500,410000,,449500,,422000,,500000,535000,550000,565000,,545500,,486500,,-3,,78,,5.9
HAMILTON,,200000 ^,223500,195000,171500,,168000,,187500,,212000,290000,314000,348000,,277500,,279000,,-20,,39,,3.3
HAMLYN HEIGHTS,,284500,306500,326500,377500,,436000,,472500,,482000,515000,627500,512500,,557500,,525000,,9,,96,,7.0
HAMPTON,,650000,750000,800000,877000,,880000,,792500,,804500,991500,1036000,973000,,932500,,781000,,-4,,43,,3.7
HAMPTON EAST,,602000,645000,600000,600000,,653000,,595000,,699500,712000,797500,853500,,950000,,1100000,,11,,58,,4.7
HAMPTON PARK,,285500,340000,340000,390500,,425000,,400000,,450000,510500,545000,520000,,560000,,502000,,8,,96,,7.0
HARKNESS,,265000,245000,270000,331500,,365000,,348500,,335000,385000,408500,435000,,395000,,399000,,-9,,49,,4.1
HASTINGS,,285000,295000,320000,340000,,450000,,390000,,421500,536000,600000,561000,,537500,,450000,,-4,,89,,6.5
HAWTHORN,,553000,579000,564000,608000,,585000,,560000,,638500,612000,605000,588000,,580000,,540000,,-1,,5,,0.5
HAWTHORN EAST,,540000,570000,655000,640000,,632500,,636000,,660000,690000,673000,636500,,620000,,507500,,-3,,15,,1.4
HEALESVILLE,,370000,360000,407500,435500,,450000,,475000,,520000,600000,605000,637500,,650000,,650000,,2,,76,,5.8
HEATHCOTE,,165000 ^,175000,^   237500  ^,205000,^,235000,^,295000,^,370000,266000,400000,325000,,357500,,385000,,10,,117,,8.0
HEATHERTON,,426500,442500,412000,449000,,440500,^,415000,^,300000,468500,440500,407000,,319000,,NA,,-22,,-25,,-2.9
HEATHMONT,,491500,550000,639500,656500,,679000,,630500,,670500,759500,877500,812000,,735000,,737500,,-9,,50,,4.1
HEIDELBERG,,517000,522500,550000,579500,,579000,,640000,,630000,675000,653000,712500,,650000,,637000,,-9,,26,,2.3
HEIDELBERG HEIGHTS,,453000,541000,526500,652500,,665500,,630000,,715500,726000,755000,742500,,735000,,720000,,-1,,62,,5.0
HEIDELBERG WEST,,386500,437500,470000,495000,,550000,,555500,,606500,655000,630000,685000,,597500,,695000,,-13,,55,,4.4
HERNE HILL,,222000,210000,226000,255000,,277500,,286000,,312000,375000,345000,404500,,350000,,296500,,-13,,58,,4.7
HIGHETT,,545000,580000,570000,565000,,571000,,675000,,620000,712500,667500,680000,,666500,,590000,,-2,,22,,2.0
HIGHTON,,298500,340000,357000,337500,,390000,,415000,,435500,520000,552500,523500,,516000,,520500,,-1,,73,,5.6
HILLSIDE (MELTON),,312500,340000,399500,438000,,486500,,457500,,490000,510000,512000,550000,,540000,,585000,,-2,,73,,5.6
HOPPERS CROSSING,,290000,290000,305000,370000,,387000,,402500,,417500,416500,425000,450000,,450000,,445000,,0,,55,,4.5
HORSHAM,,185000,212000,225500,259000,,248500,,219500,,240000,270000,330000,330000,,347500,,265000,,5,,88,,6.5
HUGHESDALE,,506000,605000,587500,620000,,661500,,624500,,674000,721500,717500,795000,,725500,,490000,,-9,,43,,3.7
HUNTINGDALE,,372500,498500,372500,432500,,422500,,661000,^,680000,422500,775000,552500,,435000,,687500,,-21,,17,,1.6
INVERLOCH,,350000,317000,381500,360000,,487500,,515000,,470000,633000,770000,835000,,727500,,521500,,-13,,108,,7.6
IRYMPLE,,157500 ^,230000,^   165000  ^,207500,,197500,,157500,,354000,290000,358500,299000,,429000,,393500,,43,,172,,10.5
IVANHOE,,538000,615000,597500,730000,,606000,,575000,,650000,629000,710000,740000,,720000,,657500,,-3,,34,,3.0
