,,,,,,,,,,,,,,,,,,,,Change,,,,Growth
WHITTINGTON,,309500,218500,209000,225000,,330500,299000,,,345000,375000,421000,397000,,375000,,380000,,-6,,21,,1.9
WHITTLESEA,,280000 ^,281000,295000,337500,,407500,330000   ^,,,412500,490000,492500,482500,,485000,,350000,,1,,73,,5.6
WILLIAMS LANDING,,350000 ^,375000,359000,389000,,438500,432000,,,415000,475500,412500,417500,,418500,,450000,,0,,20,,1.8
WILLIAMSTOWN,,568000,560000,620000,705000,,665000,670000,,,720000,755000,815000,748000,,707500,,807500,,-5,,25,,2.2
WILLIAMSTOWN NORTH,,545000,489500,548000,531500,,577000,740000,,,705000,763500,701500,780000,,860000,,770000,,10,,58,,4.7
WINDSOR,,497000,505000,555500,600000,,540500,504500,,,593000,599500,581000,550000,,544500,,507500,,-1,,10,,0.9
WODONGA,,198000,187500,205000,225000,,233500,225000,,,212500,280000,330500,351000,,374500,,360000,,7,,89,,6.6
WOLLERT,,339000,339000,387500,425000,,412000,405000,,,429500,445000,442500,435000,,467500,,470000,,7,,38,,3.3
WONTHAGGI,,233000,215000,255000,260000,,305000,320000,,,346500,422500,490000,425000,,410000,,430000,,-4,,76,,5.8
WOODEND,,337500,422000,^   430000,529500,,470000,522500,,,700000,627500,615000,695000,,624000,,604000,,-10,,85,,6.3
WYNDHAM VALE,,255000,240000,209000,254500,,372000,378000,,,410000,410000,430000,480000,,487000,,480000,,1,,91,,6.7
YARRA JUNCTION,,345000,320000,374000,440000,,470000,461500,,,467500,550000,549000,610000,,570000,,670000,,-7,,65,,5.1
YARRAVILLE,,512000,550000,555000,550000,,563000,650000,,,640000,680000,602000,600000,,640500,,608000,,7,,25,,2.3
YARRAWONGA,,213500,228000,232500,245000,,248000,277500,,,296000,367500,420000,467500,,452000,,485000,,-3,,112,,7.8
